scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
flat-externo	oficial	16	180.127350	0.000400	0.001150	0.002050	1.040290	0.198535	5.552718	5552718.242185	11.621030	72.631438	2.035365	3.734392
flat-externo	TBB	16	366.574700	0.001800	0.007100	0.012650	2.067770	0.540225	2.728119	2728118.546779	12.098906	75.618161	1.000000	1.834753
flat-externo	WinTP	16	672.543850	0.014000	0.062950	0.138450	0.282470	0.213305	1.486913	1486913.431930	3.556487	22.228044	0.545033	1.000000
spawn-arvore (task dentro de task)	oficial	16	59.163550	0.001100	0.082850	0.881400	39.478760	31.434080	16.902764	16902763.904039	14.339548	89.622178	0.983266	12.255936
spawn-arvore (task dentro de task)	TBB	16	58.171950	0.001300	0.087800	0.934750	44.421660	33.816080	17.190421	17190421.339622	12.147458	75.921613	1.000000	12.464512
spawn-arvore (task dentro de task)	WinTP	16	725.086550	247.188400	280.258700	280.713000	286.117370	285.633870	1.379149	1379149.175867	14.202419	88.765117	0.080228	1.000000
rapida/baixa	oficial	16	3.590500	0.000400	0.000950	0.002200	0.154330	0.027020	5.570731	5570731.136880	0.000000	0.000000	2.209867	3.762468
rapida/baixa	TBB	16	7.941200	0.001700	0.005700	0.016150	0.047910	0.023630	2.520844	2520844.340362	0.000000	0.000000	1.000000	1.702576
rapida/baixa	WinTP	16	13.509350	0.013850	0.030700	0.036600	0.061210	0.039835	1.480606	1480605.631622	2.241376	14.008597	0.587345	1.000000
rapida/media	oficial	16	10.535650	0.000400	0.000950	0.001900	0.059030	0.019460	5.695005	5695005.032393	17.637619	110.235118	2.264457	3.805421
rapida/media	TBB	16	23.857300	0.001600	0.005550	0.013050	0.242490	0.053915	2.514953	2514953.494716	18.765648	117.285298	1.000000	1.680500
rapida/media	WinTP	16	40.092200	0.014050	0.034900	0.090700	0.129340	0.109230	1.496550	1496550.460157	2.482389	15.514931	0.595061	1.000000
rapida/alta	oficial	16	20.602000	0.000400	0.001000	0.001500	0.157450	0.040375	5.824695	5824695.498498	9.288155	58.050968	2.286239	3.816748
rapida/alta	TBB	16	47.102250	0.001600	0.005500	0.011000	0.269160	0.089020	2.547719	2547718.971301	14.634951	91.468442	1.000000	1.669444
rapida/alta	WinTP	16	78.632400	0.014150	0.047250	0.102350	0.152530	0.116735	1.526089	1526088.598834	3.100224	19.376403	0.599002	1.000000
rapida/ultra	oficial	16	30.517300	0.000400	0.001200	0.001900	0.249070	0.064355	5.898318	5898317.865194	11.189883	69.936770	2.306432	3.908615
rapida/ultra	TBB	16	70.386050	0.001600	0.005650	0.010450	0.817630	0.128425	2.557335	2557334.847725	12.852336	80.327102	1.000000	1.694659
rapida/ultra	WinTP	16	119.280250	0.014250	0.043400	0.103500	0.150390	0.132870	1.509056	1509055.860615	3.763998	23.524985	0.590089	1.000000
media/baixa	oficial	16	29.316550	13.837650	26.315750	26.602300	26.319480	26.620485	0.682216	682215.775784	15.474218	96.713861	1.019958	1.042959
media/baixa	TBB	16	29.901350	11.618600	23.174550	23.440600	23.228470	23.468040	0.668867	668866.697511	15.638745	97.742154	1.000000	1.022552
media/baixa	WinTP	16	30.575650	10.773600	20.960700	21.124200	21.230530	21.138715	0.654115	654115.311012	15.168703	94.804396	0.977946	1.000000
media/media	oficial	16	110.697150	25.992450	43.208000	44.136050	59.599110	52.978310	0.542019	542019.385455	14.714165	91.963533	1.005427	1.008992
media/media	TBB	16	111.297950	45.821450	89.116550	90.035200	89.796280	90.084625	0.539093	539093.493561	14.634469	91.465432	1.000000	1.003545
media/media	WinTP	16	111.695300	43.478950	81.790750	82.426300	76.685530	82.490065	0.537189	537189.059772	14.535509	90.846933	0.996467	1.000000
media/alta	oficial	16	273.149600	22.459850	48.276500	50.339700	74.936340	62.868045	0.439833	439832.591005	14.658117	91.613233	0.979141	0.965078
