scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct
flat-externo	oficial	16	333.356350	0.000500	0.000900	0.001950	0.375260	0.168010	2.999944	2999944.413689	13.419769	83.873558
flat-externo	bug001	16	325.146550	0.000500	0.000900	0.002250	0.412280	0.148120	3.075626	3075626.019649	13.345448	83.409048
flat-externo	perf001-A:ctrs-pad	16	330.154150	0.000550	0.000900	0.002200	0.433140	0.143965	3.029206	3029205.633175	13.345984	83.412398
flat-externo	perf002-B:struct-pad	16	323.413200	0.000500	0.000900	0.002250	0.447140	0.205870	3.092152	3092152.173042	13.104557	81.903482
flat-externo	perf003-C:wake-alvo	16	327.858050	0.000550	0.000900	0.002300	0.517860	0.195140	3.050126	3050125.889708	13.506977	84.418608
flat-externo	perf004-D:ctr-worker	16	316.077900	0.000500	0.000900	0.001950	0.406360	0.169300	3.163804	3163804.103462	13.248598	82.803735
flat-externo	perf005-E:elastic-lote	16	323.803150	0.000500	0.000900	0.002250	0.369460	0.149795	3.089554	3089553.981462	12.921293	80.758082
flat-externo	all:bugs+A..E	16	283.146650	0.000500	0.000800	0.002050	0.414920	0.156800	3.533864	3533864.162558	13.409516	83.809473
flat-externo	TBB	16	359.417400	0.001300	0.011100	0.037300	1.929910	0.458440	2.782282	2782282.313097	15.193265	94.957904
flat-externo	WinTP	16	731.939250	0.009000	0.043450	0.097800	0.785140	0.147385	1.366265	1366265.355442	3.187847	19.924046
spawn-arvore (task dentro de task)	oficial	16	100.371350	0.002300	0.157600	1.636250	68.288700	53.958760	9.963008	9963007.769541	14.858654	92.866585
spawn-arvore (task dentro de task)	bug001	16	100.392750	0.002300	0.159500	1.624650	70.029310	57.108715	9.960930	9960930.454681	15.113061	94.456629
spawn-arvore (task dentro de task)	perf001-A:ctrs-pad	16	93.534100	0.002100	0.147350	1.490550	59.870140	50.371220	10.691289	10691288.717717	15.857986	99.112413
spawn-arvore (task dentro de task)	perf002-B:struct-pad	16	100.675000	0.002300	0.158550	1.620900	73.302250	56.947775	9.933206	9933205.683747	15.150277	94.689233
spawn-arvore (task dentro de task)	perf003-C:wake-alvo	16	100.399550	0.002350	0.157750	1.598200	68.999920	52.206005	9.960227	9960226.609479	15.346485	95.915533
spawn-arvore (task dentro de task)	perf004-D:ctr-worker	16	101.544300	0.002300	0.157950	1.624200	74.337610	59.940330	9.848010	9848009.961818	15.339265	95.870406
spawn-arvore (task dentro de task)	perf005-E:elastic-lote	16	101.580700	0.002300	0.158550	1.655050	75.150960	61.665335	9.844390	9844389.782355	14.903063	93.144145
spawn-arvore (task dentro de task)	all:bugs+A..E	16	93.334850	0.002100	0.147000	1.502900	67.638040	53.036490	10.714135	10714135.219240	15.667767	97.923542
spawn-arvore (task dentro de task)	TBB	16	89.021500	0.002100	0.149350	1.511300	65.093680	47.303200	11.233249	11233249.487940	15.485658	96.785361
spawn-arvore (task dentro de task)	WinTP	16	723.817350	249.673800	279.405300	279.920650	284.707290	282.346975	1.381606	1381605.669653	15.455513	96.596959
rapida/baixa	oficial	16	6.599300	0.000500	0.000950	0.003800	0.062020	0.009125	3.030632	3030631.558892	0.000000	0.000000
rapida/baixa	bug001	16	6.869000	0.000500	0.001000	0.004200	0.148610	0.023940	2.911652	2911652.186389	0.000000	0.000000
rapida/baixa	perf001-A:ctrs-pad	16	6.919300	0.000500	0.001000	0.003800	0.099420	0.017975	2.891181	2891180.638317	25.669117	160.431982
rapida/baixa	perf002-B:struct-pad	16	6.637650	0.000500	0.000900	0.003700	0.102850	0.023140	3.013275	3013275.126536	0.000000	0.000000
rapida/baixa	perf003-C:wake-alvo	16	6.948550	0.000500	0.000950	0.003300	0.114660	0.017575	2.878322	2878322.076687	0.000000	0.000000
rapida/baixa	perf004-D:ctr-worker	16	6.520700	0.000500	0.000900	0.003250	0.097500	0.018200	3.067454	3067453.638087	26.367917	164.799480
rapida/baixa	perf005-E:elastic-lote	16	7.002900	0.000500	0.000950	0.003750	0.190820	0.030615	2.856717	2856716.717689	0.000000	0.000000
rapida/baixa	all:bugs+A..E	16	6.220950	0.000500	0.000900	0.003400	0.187860	0.030650	3.214953	3214953.198773	0.000000	0.000000
