scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
flat-externo	oficial	16	183.480000	0.000400	0.000700	0.002300	3.295700	0.742380	5.450185	5450185.306300	11.837121	73.982008	2.191822	3.964654
flat-externo	TBB	16	402.155500	0.001900	0.534300	1.597700	7.035500	4.692530	2.486600	2486600.332458	10.490345	65.564657	1.000000	1.808839
flat-externo	WinTP	16	727.434700	0.013900	0.169400	1.636300	3.192200	2.345020	1.374694	1374693.838498	3.415255	21.345344	0.552841	1.000000
spawn-arvore (task dentro de task)	oficial	16	85.476100	0.001100	0.084700	1.033200	59.794500	44.991180	11.699177	11699176.728934	7.677585	47.984905	1.045083	8.570870
spawn-arvore (task dentro de task)	TBB	16	89.329600	0.001400	0.110600	1.490100	75.686600	49.372510	11.194498	11194497.680500	7.871131	49.194570	1.000000	8.201139
spawn-arvore (task dentro de task)	WinTP	16	732.604500	251.538900	278.939800	279.473300	294.325200	286.625570	1.364993	1364992.980524	12.946105	80.913158	0.121934	1.000000
rapida/baixa	oficial	16	2.319400	0.009800	0.093000	0.110700	0.114500	0.113390	8.622920	8622919.720617	0.000000	0.000000	6.559498	7.345132
rapida/baixa	TBB	16	15.214100	0.002700	0.010900	0.034400	0.273000	0.074150	1.314570	1314570.037005	12.324094	77.025588	1.000000	1.119770
rapida/baixa	WinTP	16	17.036300	0.021300	1.244200	1.262200	1.847500	1.321310	1.173964	1173963.830174	11.005911	68.786943	0.893040	1.000000
rapida/media	oficial	16	12.543500	0.000400	0.000900	0.003000	0.315900	0.070090	4.783354	4783353.928329	14.947981	93.424881	2.292518	3.475896
rapida/media	TBB	16	28.756200	0.001900	0.018000	0.086600	2.477200	1.603490	2.086507	2086506.562063	7.607055	47.544095	1.000000	1.516191
rapida/media	WinTP	16	43.599900	0.014800	0.061200	0.094700	2.023100	0.299500	1.376150	1376149.945298	3.225351	20.158446	0.659547	1.000000
