scenario	adapter	wrk	wall_ms	p50_ms	p99_ms	p999_ms	max_ms	max10_ms	Mtask_s	tasks_s	cores	cpu_pct	xTBB	xWinTP
flat-externo	oficial	16	314.108000	0.000500	0.000900	0.003600	5.206867	0.422680	3.183618	3183618.373298	11.267946	70.424664	1.238647	2.235295
flat-externo	g1-ring	16	180.646800	0.000400	0.000700	0.002000	0.872567	0.328650	5.535664	5535664.069333	11.288266	70.551661	2.153754	3.886723
flat-externo	g2-sub	16	362.509100	0.000600	0.001000	0.005600	2.786000	0.516570	2.758551	2758551.440502	11.634205	72.713780	1.073266	1.936845
flat-externo	g3-wrk	16	672.685100	0.000600	0.000900	0.004000	0.667367	0.214210	1.486580	1486579.678961	11.358398	70.989987	0.578382	1.043763
flat-externo	g4-park	16	317.938300	0.000500	0.000800	0.002700	0.661000	0.329630	3.145264	3145264.348460	11.582313	72.389458	1.223724	2.208366
flat-externo	all	16	307.966400	0.000400	0.000800	0.002300	1.072267	0.261070	3.247107	3247107.476660	11.520391	72.002443	1.263348	2.279872
flat-externo	final	16	170.443800	0.000400	0.001100	0.002200	2.099233	0.366060	5.867037	5867036.524649	11.744492	73.403077	2.282681	4.119387
flat-externo	TBB	16	389.068800	0.001800	0.008700	0.019100	1.259333	0.854300	2.570240	2570239.505198	12.214275	76.339221	1.000000	1.804627
flat-externo	WinTP	16	702.124000	0.013800	0.062300	0.196100	0.320333	0.247250	1.424250	1424249.847605	3.249070	20.306687	0.554131	1.000000
spawn-arvore (task dentro de task)	oficial	16	84.291900	0.001800	0.132400	1.456600	58.304433	44.969570	11.863536	11863536.116756	15.200156	95.000973	0.971872	8.856430
spawn-arvore (task dentro de task)	g1-ring	16	87.241300	0.001800	0.126200	1.367400	65.266533	45.960390	11.462461	11462461.013304	13.328619	83.303870	0.939015	8.557017
spawn-arvore (task dentro de task)	g2-sub	16	84.442100	0.001700	0.125400	1.377200	60.080033	46.706700	11.842434	11842434.046524	12.701172	79.382327	0.970143	8.840677
spawn-arvore (task dentro de task)	g3-wrk	16	79.767400	0.001500	0.117300	1.261000	54.749167	44.353480	12.536450	12536449.727583	13.515860	84.474124	1.026997	9.358777
spawn-arvore (task dentro de task)	g4-park	16	95.008200	0.001700	0.119000	1.196500	65.055000	52.813660	10.525407	10525407.280635	11.639112	72.744452	0.862251	7.857483
spawn-arvore (task dentro de task)	all	16	87.827900	0.001400	0.102400	1.031400	60.962267	43.587500	11.385904	11385903.568228	11.919618	74.497611	0.932743	8.499865
spawn-arvore (task dentro de task)	final	16	77.204000	0.001500	0.110500	1.284300	47.540467	40.128460	12.952697	12952696.751464	14.463028	90.393926	1.061097	9.669516
spawn-arvore (task dentro de task)	TBB	16	81.920900	0.001800	0.126000	1.387400	56.674967	46.010980	12.206897	12206897.141023	14.064409	87.902558	1.000000	9.112758
spawn-arvore (task dentro de task)	WinTP	16	746.525300	248.992500	278.763900	278.941300	284.281700	280.294710	1.339539	1339539.329745	13.951864	87.199153	0.109736	1.000000
rapida/baixa	oficial	16	6.109400	0.000500	0.000900	0.004400	0.034533	0.010370	3.273644	3273643.893017	0.000000	0.000000	1.420614	2.272662
rapida/baixa	g1-ring	16	3.303300	0.000400	0.000700	0.002200	0.117467	0.006490	6.054552	6054551.509097	39.051761	244.073505	2.627403	4.203251
rapida/baixa	g2-sub	16	7.623900	0.000600	0.001000	0.003500	0.155867	0.017860	2.623329	2623329.267173	0.000000	0.000000	1.138407	1.821194
rapida/baixa	g3-wrk	16	13.595800	0.000600	0.001100	0.006300	0.024800	0.011890	1.471043	1471042.527839	12.713847	79.461543	0.638366	1.021242
rapida/baixa	g4-park	16	6.635000	0.000500	0.000800	0.003300	0.029833	0.005910	3.014318	3014318.010550	0.000000	0.000000	1.308078	2.092630
rapida/baixa	all	16	5.649800	0.000500	0.001000	0.002200	0.060000	0.006550	3.539948	3539948.316755	0.000000	0.000000	1.536178	2.457538
rapida/baixa	final	16	3.465600	0.000400	0.001200	0.004000	0.048267	0.006830	5.771006	5771006.463527	0.000000	0.000000	2.504357	4.006406
rapida/baixa	TBB	16	8.679100	0.001700	0.006300	0.017300	0.062600	0.035200	2.304386	2304386.399511	0.000000	0.000000	1.000000	1.599774
