adapter,scenario,reps,tasks,workers,wall_ms,cpu_ms,cpu_cores,cpu_pct_machine,p50_ms,p99_ms,p999_ms,max_ms,throughput_mtask_s,timeouts
atual-v16,rapida/baixa,7,20000,16,51.436800,593.750000,11.716065,73.225407,0.001500,0.003400,0.007200,0.027300,0.388827,0
atual-v16,rapida/media,7,60000,16,129.194300,1578.125000,12.130038,75.812738,0.001200,0.002900,0.006400,0.072600,0.464417,0
atual-v16,rapida/alta,7,120000,16,230.878800,2781.250000,11.975436,74.846472,0.001100,0.002300,0.005600,0.037600,0.519753,0
atual-v16,rapida/ultra,7,180000,16,330.445400,4203.125000,12.330362,77.064765,0.001200,0.002500,0.005400,0.036800,0.544719,0
atual-v16,media/baixa,7,20000,16,28.030000,484.375000,17.366776,108.542347,0.345300,17.811300,19.399700,19.411500,0.713521,0
atual-v16,media/media,7,60000,16,110.903500,1687.500000,15.075043,94.219017,6.076800,34.736200,36.865000,37.001400,0.541011,0
atual-v16,media/alta,7,120000,16,257.765800,3953.125000,15.231304,95.195653,34.424400,87.547000,93.705200,95.107100,0.465539,0
atual-v16,media/ultra,7,180000,16,443.816700,6796.875000,15.233845,95.211531,69.347600,166.733700,180.298700,180.773200,0.405573,0
atual-v16,mista/baixa,7,20000,16,28.806100,468.750000,16.272595,101.703719,0.104400,5.910600,6.266500,6.440800,0.694297,0
atual-v16,mista/media,7,60000,16,92.861400,1500.000000,15.656999,97.856244,0.066800,7.503000,8.852400,8.910000,0.646124,0
atual-v16,mista/alta,7,120000,16,206.073400,3234.375000,15.788073,98.675454,0.065600,33.282700,36.469600,36.629600,0.582317,0
atual-v16,mista/ultra,7,180000,16,343.197000,5453.125000,15.805074,98.781711,0.078300,86.997900,96.823100,97.452200,0.524480,0
atual-v16,satur/alta,7,160000,16,295.738900,3765.625000,12.415935,77.599595,0.001200,0.002800,0.005700,0.036100,0.541018,0
atual-v16,satur/ultra,7,240000,16,441.079700,5453.125000,12.353921,77.212009,0.001100,0.002300,0.005300,0.059000,0.544119,0
